iso3,indicator,method,simple_method,kp,area_name,area_level,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,ethic,study_idx,observation_idx
HTI,prevalence,lab,NA,FSW,Grand'Anse,NA,Y015_049,2016,NA,NA,NA,NA,0.14,NA,7,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1490
HTI,prevalence,lab,NA,MSM,Grand'Anse,NA,Y015_049,2016,NA,NA,NA,NA,0.3,NA,10,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1491
HTI,prevalence,lab,NA,TGW,Grand'Anse,NA,Y015_049,2016,NA,NA,NA,NA,0.8,NA,5,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1492
HTI,prevalence,lab,NA,FSW,Nippes,NA,Y015_049,2016,NA,NA,NA,NA,0.06,NA,32,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1493
HTI,prevalence,lab,NA,MSM,Nippes,NA,Y015_049,2016,NA,NA,NA,NA,0.05,NA,21,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1494
HTI,prevalence,lab,NA,TGW,Nippes,NA,Y015_049,2016,NA,NA,NA,NA,0,NA,1,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1495
HTI,prevalence,lab,NA,FSW,Nord,NA,Y015_049,2016,NA,NA,NA,NA,0.11,NA,56,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1496
COD,prevalence,lab,lab,FSW,Mbuji-Mayi,NA,NA,2012,NA,NA,NA,NA,0.142,NA,646,ENQUETE INTEGREE DE SURVEILLANCE COMPORTEMENTALE ET DE SEROPREVALENCE en REPUBLIQUE DEMOCRATIQUE DU CONGO RAPPORT DíENQUETE,NA,CDC_c66e3aa7cb24e4727af4f6292e157233,CDC,7fe2c9b9f10e06107f03a5467f511a6f,Yes,yes,NA,NA,NA,60,1497
HTI,prevalence,lab,NA,MSM,Nord,NA,Y015_049,2016,NA,NA,NA,NA,0.04,NA,23,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1498
HTI,prevalence,lab,NA,TGW,Nord,NA,Y015_049,2016,NA,NA,NA,NA,0,NA,4,2017 PLACE,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,NA,1499
COD,prevalence,lab,lab,PWID,Centre Hospitalaire Saint Hilaire,NA,NA,2014,NA,NA,NA,NA,0.133,NA,98,Rapport Annuel 2014,NA,GF_62faf6e36e34ae076dddff5588013a3a,GF,4bbf938cd37444d24daaeff05a017c63,Yes,yes,NA,NA,0,62,1500
COD,prevalence,lab,lab,FSW,Kinshasa,NA,NA,2014,NA,NA,NA,NA,0.15,NA,421,Rapport Annuel 2014,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,62,1501
COD,prevalence,lab,lab,MSM,Kinshasa,NA,NA,2014,NA,NA,NA,NA,0.095,NA,834,Rapport Annuel 2014,NA,GF_2061ec119cefe56b4f6ac5ad352ce748,GF,b30a6fbe6000bb470d9c5a50dff01e07,Yes,yes,NA,NA,NA,62,1502
COD,prevalence,lab,lab,PWID,Kinshasa,NA,NA,2014,NA,NA,NA,NA,0.133,NA,98,Rapport Annuel 2014,NA,KP Atlas_d6314a430a63a75ebbe3448ffe51dfb4,KP Atlas,9e8ce9c2b81be9b91bd6cf6d85eed677,Yes,yes,NA,NA,NA,62,1503
COG,prevalence,lab,lab,FSW,"Brazzaville, Pointe Noire, Dolisie, Nkayi, Pokola",NA,NA,2012,NA,NA,NA,NA,0.075,NA,756,"Enquete Comportementale Couplee A La Serologie VIH Chez Les Professionnelles Du Sexe, Les Hommes Ayant Des Rapports Sexuels Avec Les Hommes Et Les Detenus En Republique Du Congo Rapport Final",NA,GF_20aa2dc6313f844e8b6a4b424161776e,GF,427f5b56e2ecaf7f70c272c3cdb92aae,Yes,yes,NA,NA,NA,66,1511
COG,prevalence,lab,lab,MSM,"Brazzaville, Pointe Noire,
Dolisie, Nkayi, Pokola",NA,NA,2012,NA,NA,NA,NA,0.261,NA,153,"Enquete Comportementale Couplee A La Serologie VIH Chez Les Professionnelles Du Sexe, Les Hommes Ayant Des Rapports Sexuels Avec Les Hommes Et Les Detenus En Republique Du Congo Rapport Final",NA,GF_b0097663d88ee3dc99695bd4dd294715,GF,b2720180efc5b509b75533790c43bec3,Yes,yes,NA,NA,NA,66,1512
ETH,prevalence,lab,lab,FSW,Adama,NA,NA,2013,NA,NA,NA,0.18,0.25,0.33,435,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,CDC_8a0b7dc987e57884d89ea858ebaa0d4d,CDC,747abf81cbc0f7b30de96825cd38137c,Yes,yes,NA,NA,NA,68,1522
ETH,prevalence,lab,lab,FSW,Addis Ababa,NA,NA,2013,NA,NA,NA,0.14,0.179,0.22,935,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_04c7d395c0e5db4584e50fe9d9585040,KP Atlas,ff7afb7717225ff7b821ef78a3c24862,Yes,yes,NA,NA,NA,68,1523
ETH,prevalence,lab,lab,FSW,Bahir Dar,NA,NA,2013,NA,NA,NA,0.25,0.32,0.39,488,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,CDC_e4eeb5fa7911693c559f4c43761a13d4,CDC,07937c3a056cc75d7f4c8939251a60b2,Yes,yes,NA,NA,NA,68,1526
ETH,prevalence,lab,lab,FSW,Dire Dawa Town,NA,NA,2013,NA,NA,NA,0.21,0.278,0.37,429,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_3bf7fa9b6d0c17508b19dc66f51e7c80,KP Atlas,678796ef28346d4dc354b2498e08e7f2,Yes,yes,NA,NA,NA,68,1527
ETH,prevalence,lab,lab,FSW,Gambela,NA,NA,2013,NA,NA,NA,0.18,0.26,0.34,327,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,GF_08f71b8f664afc0c02c2e2ee3f183838,GF,54237fe23bebdb0c1c6dd026e017bfe2,Yes,yes,NA,NA,NA,68,1528
ETH,prevalence,lab,lab,FSW,Hawasa,NA,NA,2013,NA,NA,NA,0.09,0.139,0.19,439,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_552ba50ff1e93b5617b1d0a32608a2ee,KP Atlas,e72733b9b7c2291653ef09ec353b8881,Yes,yes,NA,NA,NA,68,1531
ETH,prevalence,lab,lab,FSW,Kombolcha,NA,NA,2013,NA,NA,NA,0.22,0.287,0.25,353,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_7371d3fcd8ecdf26eb04ec6fb70a22fd,KP Atlas,24462eb07d022ebba4a1440e8deb35a5,Yes,yes,NA,NA,NA,68,1532
ETH,prevalence,lab,lab,FSW,Logia,NA,NA,2013,NA,NA,NA,0.16,0.258,0.37,179,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_7bd35b8451fa3ea185f85692aaf85ee2,KP Atlas,2bf17dc2ba7355c432558f76e487522b,Yes,yes,NA,NA,NA,68,1534
ETH,prevalence,lab,lab,FSW,Mekele,NA,NA,2013,NA,NA,NA,0.26,0.32,0.38,403,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,CDC_231e49370cdbf7c557fd49f52cac6fc2,CDC,2d21c08c93fa23eebb5c1d5a5e879f0e,Yes,yes,NA,NA,NA,68,1535
ETH,prevalence,lab,lab,FSW,Metema,NA,NA,2013,NA,NA,NA,0.12,0.17,0.22,NA,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,CDC_07cbf1eb4e07f4f3a877adae373fc3a1,CDC,07d3bb434fa7e8d680028922da72c9b1,Yes,yes,NA,NA,NA,68,1538
ETH,prevalence,lab,lab,FSW,Shashemene Town,NA,NA,2013,NA,NA,NA,0.12,0.157,0.2,494,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",NA,KP Atlas_bd2e4194b2997ebb2e4891b7a8e28c23,KP Atlas,542424686f715f265c01a4a2b80523f6,Yes,yes,NA,NA,NA,68,1539
ETH,prevalence,lab,lab,FSW,Adama,NA,NA,2020,NA,NA,NA,NA,0.161,NA,676,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1544
ETH,prevalence,lab,lab,FSW,Addis Ababa,NA,NA,2020,NA,NA,NA,NA,0.154,NA,1101,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1545
ETH,prevalence,lab,lab,FSW,Arba Minch,NA,NA,2020,NA,NA,NA,NA,0.183,NA,251,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1546
ETH,prevalence,lab,lab,FSW,Bahir Dar,NA,NA,2020,NA,NA,NA,NA,0.282,NA,372,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1547
ETH,prevalence,lab,lab,FSW,Dilla,NA,NA,2020,NA,NA,NA,NA,0.16699999999999998,NA,251,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1548
ETH,prevalence,lab,lab,FSW,Dire Dawa Town,NA,NA,2020,NA,NA,NA,NA,0.237,NA,434,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1549
ETH,prevalence,lab,lab,FSW,Gambella,NA,NA,2020,NA,NA,NA,NA,0.21600000000000003,NA,468,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1550
ETH,prevalence,lab,lab,FSW,Gonder,NA,NA,2020,NA,NA,NA,NA,0.2,NA,250,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1551
ETH,prevalence,lab,lab,FSW,Harar,NA,NA,2020,NA,NA,NA,NA,0.231,NA,242,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1552
ETH,prevalence,lab,lab,FSW,Hawassa,NA,NA,2020,NA,NA,NA,NA,0.14400000000000002,NA,522,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1553
ETH,prevalence,lab,lab,FSW,Jimma,NA,NA,2020,NA,NA,NA,NA,0.248,NA,254,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1554
ETH,prevalence,lab,lab,FSW,Kombolcha/Dese,NA,NA,2020,NA,NA,NA,NA,0.203,NA,251,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1555
ETH,prevalence,lab,lab,FSW,Logia/Semera,NA,NA,2020,NA,NA,NA,NA,0.175,NA,251,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1556
ETH,prevalence,lab,lab,FSW,Mizan,NA,NA,2020,NA,NA,NA,NA,0.153,NA,255,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1557
ETH,prevalence,lab,lab,FSW,Nekemte,NA,NA,2020,NA,NA,NA,NA,0.198,NA,257,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1558
ETH,prevalence,lab,lab,FSW,Shashemene Town,NA,NA,2020,NA,NA,NA,NA,0.14,NA,250,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,69,1559
ETH,prevalence,lab,lab,PWID,Addis Ababa,NA,NA,2015,NA,NA,NA,NA,0.06,NA,237,Demissie et al,https://pubmed.ncbi.nlm.nih.gov/30319040/,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,70,1572
GHA,prevalence,lab,lab,MSM,Accra/Tema,NA,NA,2011,NA,NA,NA,0.278,0.343,0.411,456,2011 Men's Study,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,72,1574
GHA,prevalence,lab,lab,MSM,Cape Coast/Takoradi,NA,NA,2011,NA,NA,NA,0.018,0.047,0.075,398,2011 Men's Study,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,72,1575
GHA,prevalence,lab,lab,MSM,Koforidua,NA,NA,2011,NA,NA,NA,0.042,0.113,0.17,146,2011 Men's Study,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,72,1576
GHA,prevalence,lab,lab,MSM,Kumasi,NA,NA,2011,NA,NA,NA,0.07,0.136,0.205,302,2011 Men's Study,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,72,1577
GHA,prevalence,lab,lab,MSM,"Bono, Bono East, Ahafo",NA,NA,2017,NA,NA,NA,0.026,0.04,0.062,504,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1579
GHA,prevalence,lab,lab,MSM,Central,NA,NA,2017,NA,NA,NA,0.075,0.1,0.135,503,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1580
GHA,prevalence,lab,lab,MSM,Eastern,NA,NA,2017,NA,NA,NA,0.065,0.09,0.122,501,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1581
GHA,prevalence,lab,lab,MSM,Greater Accra,NA,NA,2017,NA,NA,NA,0.372,0.424,0.477,546,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1582
GHA,prevalence,lab,lab,MSM,Northern,NA,NA,2017,NA,NA,NA,0.026,0.043,0.069,510,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1583
GHA,prevalence,lab,lab,MSM,Volta,NA,NA,2017,NA,NA,NA,0.107,0.14,0.18,505,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1584
GHA,prevalence,lab,lab,MSM,Western,NA,NA,2017,NA,NA,NA,0.078,0.1,0.137,515,2017 Ghana Men's study,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1585
GHA,prevalence,lab,lab,TGW,Ghana,NA,NA,2017,NA,NA,NA,NA,0.281,NA,31,2017 Ghana Men's study,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,74,1586
GHA,prevalence,lab,lab,FSW,Ahafo,NA,NA,2019,NA,NA,NA,NA,0.025,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1645
GHA,prevalence,lab,lab,FSW,Ashanti,NA,NA,2019,NA,NA,NA,NA,0.039,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1646
GHA,prevalence,lab,lab,FSW,Bono,NA,NA,2019,NA,NA,NA,NA,0.035,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1647
GHA,prevalence,lab,lab,FSW,Bono East,NA,NA,2019,NA,NA,NA,NA,0.066,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1648
GHA,prevalence,lab,lab,FSW,Central,NA,NA,2019,NA,NA,NA,NA,0.025,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1649
GHA,prevalence,lab,lab,FSW,Eastern,NA,NA,2019,NA,NA,NA,NA,0.044,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1650
GHA,prevalence,lab,lab,FSW,Greater Accra,NA,NA,2019,NA,NA,NA,NA,0.055,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1651
GHA,prevalence,lab,lab,FSW,North East,NA,NA,2019,NA,NA,NA,NA,0,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1652
GHA,prevalence,lab,lab,FSW,Northern,NA,NA,2019,NA,NA,NA,NA,0.025,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1653
GHA,prevalence,lab,lab,FSW,Oti,NA,NA,2019,NA,NA,NA,NA,0.014,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1654
GHA,prevalence,lab,lab,FSW,Savannah,NA,NA,2019,NA,NA,NA,NA,0.037,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1655
GHA,prevalence,lab,lab,FSW,Upper East,NA,NA,2019,NA,NA,NA,NA,0.078,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1656
GHA,prevalence,lab,lab,FSW,Upper West,NA,NA,2019,NA,NA,NA,NA,0.077,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1657
GHA,prevalence,lab,lab,FSW,Volta,NA,NA,2019,NA,NA,NA,NA,0.043,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1658
GHA,prevalence,lab,lab,FSW,Western,NA,NA,2019,NA,NA,NA,NA,0.064,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1659
GHA,prevalence,lab,lab,FSW,Western North,NA,NA,2019,NA,NA,NA,NA,0.06,NA,389,2019 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,76,1663
GHA,prevalence,lab,lab,FSW,Ashanti,NA,NA,2015,NA,NA,NA,NA,0.09,NA,463,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1679
GHA,prevalence,lab,lab,FSW,"Bono, Bono East, Ahafo",NA,NA,2015,NA,NA,NA,NA,0.062,NA,404,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1680
GHA,prevalence,lab,lab,FSW,Central,NA,NA,2015,NA,NA,NA,NA,0.08,NA,414,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1681
GHA,prevalence,lab,lab,FSW,Eastern,NA,NA,2015,NA,NA,NA,NA,0.077,NA,788,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1682
GHA,prevalence,lab,lab,FSW,Greater Accra,NA,NA,2015,NA,NA,NA,NA,0.09,NA,327,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1683
GHA,prevalence,lab,lab,FSW,Nothern,NA,NA,2015,NA,NA,NA,NA,0.083,NA,207,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1691
GHA,prevalence,lab,lab,FSW,Upper East,NA,NA,2015,NA,NA,NA,NA,0.029,NA,358,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1692
GHA,prevalence,lab,lab,FSW,Upper West,NA,NA,2015,NA,NA,NA,NA,0.059,NA,150,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1693
GHA,prevalence,lab,lab,FSW,Volta,NA,NA,2015,NA,NA,NA,NA,0.051,NA,375,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1694
GHA,prevalence,lab,lab,FSW,Western,NA,NA,2015,NA,NA,NA,NA,0.053,NA,400,2015 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,79,1695
GHA,prevalence,lab,lab,PWID,Kumasi,NA,NA,2018,NA,NA,NA,NA,0.06,NA,221,Messersmith et al,https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00510-7,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,82,1703
GHA,prevalence,lab,lab,PWID,Ashanti,NA,NA,2021,NA,NA,NA,NA,0.041,NA,80,RAPID ASSESSMENT OF PEOPLE WHO USE DRUGS (PWUD) AND PEOPLE WHO INJECT DRUGS (PWID) IN GHANA,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,83,1704
GHA,prevalence,lab,lab,PWID,Greater Accra,NA,NA,2021,NA,NA,NA,NA,0.022,NA,142,RAPID ASSESSMENT OF PEOPLE WHO USE DRUGS (PWUD) AND PEOPLE WHO INJECT DRUGS (PWID) IN GHANA,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,83,1705
GHA,prevalence,lab,lab,PWID,Northern,NA,NA,2021,NA,NA,NA,NA,0,NA,21,RAPID ASSESSMENT OF PEOPLE WHO USE DRUGS (PWUD) AND PEOPLE WHO INJECT DRUGS (PWID) IN GHANA,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,83,1706
GHA,prevalence,lab,lab,PWID,Western,NA,NA,2021,NA,NA,NA,NA,0.021,NA,99,RAPID ASSESSMENT OF PEOPLE WHO USE DRUGS (PWUD) AND PEOPLE WHO INJECT DRUGS (PWID) IN GHANA,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,83,1707
GIN,prevalence,lab,lab,FSW,Boke,NA,NA,2017,NA,NA,NA,0.101,0.16,0.227,119,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_ced5c12b822bdbf80afcc7ef51cb062d,GF,a0611157b158074048f60a834818a670,Yes,yes,NA,NA,NA,84,1708
GIN,prevalence,lab,lab,FSW,Conakry,NA,NA,2017,NA,NA,NA,0.086,0.113,0.139,532,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_e431db4df546c426aee0590364bf21bb,GF,4d986d706f87747e57c98a69fb8dc23c,Yes,yes,NA,NA,NA,84,1709
GIN,prevalence,lab,lab,FSW,Faranah,NA,NA,2017,NA,NA,NA,NA,0,NA,26,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_1de51ac418409e5498f2d992f0e4c82d,GF,3953e526ba64ea95b1749f561ac33e4b,Yes,yes,NA,NA,NA,84,1710
GIN,prevalence,lab,lab,FSW,Kankan,NA,NA,2017,NA,NA,NA,0.022,0.058,0.101,139,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_31e7088be848be8716c5a4e045fe480f,GF,e50885bb81a795e193606612b101bda6,Yes,yes,NA,NA,NA,84,1713
GIN,prevalence,lab,lab,FSW,Kindia,NA,NA,2017,NA,NA,NA,0.045,0.091,0.144,132,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_664f381306d4e6d53d020217b874c327,GF,5d100d9bb7dd07a706051b38965a5783,Yes,yes,NA,NA,NA,84,1714
GIN,prevalence,lab,lab,FSW,Labe,NA,NA,2017,NA,NA,NA,0.135,0.27,0.432,37,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_e4dd3efa2ba0b7776d41e25c34f49504,GF,d50cdbbdf1716eeb6044730faa07c50e,Yes,yes,NA,NA,NA,84,1715
GIN,prevalence,lab,lab,FSW,Mamou,NA,NA,2017,NA,NA,NA,0,0.133,0.333,15,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_8b292edff29e5e4d09ccfcf4a6a76fa9,GF,dc3cf4fe5b3680ba6ee910e24eafa640,Yes,yes,NA,NA,NA,84,1716
GIN,prevalence,lab,lab,FSW,nzerekore,NA,NA,2017,NA,NA,NA,NA,0,NA,36,"ETUDE DE SURVEILLANCE COMPORTEMENTALE ET BIOLOGIQUE (ESCOMB) SUR LES IST, LE VIH/SIDA ET LA SYPHILIS AUPRES DES POPULATIONS CLES ET GROUPES VULNERABLES",NA,GF_d3c12f355034534dca894644daaad00f,GF,b4a87da4c433fbb764714b1a59ae7ebd,Yes,yes,NA,NA,NA,84,1717
